anypw|URA
apache2|DOS
arppoision|DOS
arppoison|DOS
back|DOS
casesen|URA
crashiis|DOS
dict|RLA
dosnuke|RLA
eject|URA
fdformat|URA
ffbconfig|URA
ftpwrite|RLA
guessftp|RLA
guesspop|RLA
guesstelnet|RLA
guest|RLA
httptunnel|RLA
imap|RLA
land|DOS
loadmodule|URA
mailbomb|DOS
named|RLA
ncftp|RLA
neptune|DOS
netbus|RLA
netcat|RLA
netcat_breakin|RLA
netcat_setup|RLA
ntfsdos|URA
ntinfoscan|PRO
ntis|PRO
perl|URA
phf|RLA
pod|DOS
portsweep|PRO
ppmacro|RLA
processtable|DOS
ps|URA
queso|PRO
satan|PRO
sechole|URA
secret|DAT
selfping|DOS
sendmail|RLA
smurf|DOS
snmpget|RLA
sqlattack|URA
sshprocesstable|DOS
sshtrojan|RLA
syslogd|DOS
tcpreset|DOS
teardrop|DOS
telnet|RLA
warez|DOS
warezclient|DOS
xlock|RLA
xsnoop|RLA
xterm|URA
yaga|URA

